,Norway,NO1,NO2,NO3,NO4,NO5
2036-01-01 12:00:00,2.1172638,1.9113123,3.9849918,3.289119,4.180684,3.2714288
2036-01-02 12:00:00,2.6779404,2.4908714,5.851917,7.2459407,5.843386,5.0413866
2036-01-03 12:00:00,0.9428735,0.98407453,4.1910796,4.03738,5.410633,2.9267924
2036-01-04 12:00:00,1.2329934,1.4255234,4.6089067,4.3086896,4.592881,3.2343724
2036-01-05 12:00:00,1.762567,1.5861114,3.332095,3.7823935,4.81571,1.7471055
2036-01-06 12:00:00,1.0705845,1.2590024,2.0359077,3.8631334,5.0708375,1.5784669
2036-01-07 12:00:00,2.264403,1.8540597,2.7946212,3.991086,4.7397437,2.0317333
2036-01-08 12:00:00,0.91784126,1.0076193,3.7288325,4.423269,4.2078323,3.0040994
2036-01-09 12:00:00,2.4778588,1.8846672,7.3146086,5.1242814,4.054047,4.6640296
2036-01-10 12:00:00,1.5461884,1.2616159,5.2904606,3.1967504,3.1411242,2.6633487
2036-01-11 12:00:00,0.7060712,1.0526437,3.6259687,2.8853512,3.1451266,2.2201788
2036-01-12 12:00:00,0.9559105,1.0055757,5.0668497,3.9104156,3.1791356,4.0681925
2036-01-13 12:00:00,1.4919063,1.5743334,5.015048,5.462992,3.3122883,4.55092
2036-01-14 12:00:00,3.383988,2.8339574,6.527831,6.7083125,4.842448,4.9622736
2036-01-15 12:00:00,2.948065,2.3288374,6.40872,7.0781336,3.9290857,4.7833543
2036-01-16 12:00:00,1.6486284,1.4516007,3.9108522,5.3846,4.6251473,2.9337676
2036-01-17 12:00:00,0.93494755,1.0184776,4.2747517,4.421518,3.4374504,2.8890965
2036-01-18 12:00:00,0.7662879,0.91668534,2.2013698,4.1411195,3.227528,2.0464942
2036-01-19 12:00:00,2.294547,1.7101393,2.9899,2.5984697,2.2442245,2.2082288
2036-01-20 12:00:00,2.9662077,2.201987,3.646611,2.6191583,2.5656981,2.1792698
2036-01-21 12:00:00,3.7836194,2.6726983,4.4842386,2.9178264,3.8076844,2.2890344
2036-01-22 12:00:00,3.8273883,2.8267405,5.850973,3.6261916,5.0807905,2.9579782
2036-01-23 12:00:00,2.4197807,1.8024752,5.235256,2.6543095,5.3412232,2.5085428
2036-01-24 12:00:00,1.2216698,1.2709436,4.055989,1.9467313,5.2690444,1.9652395
2036-01-25 12:00:00,0.8445107,1.0334737,5.2574964,2.4194384,4.787723,2.5747156
2036-01-26 12:00:00,1.9700854,1.4816839,5.5056696,3.8075042,3.94048,2.5501647
2036-01-27 12:00:00,1.0415198,0.9978293,3.8552008,4.7670774,4.3296824,2.418028
2036-01-28 12:00:00,1.4998178,1.6126924,5.3880205,6.428845,4.9976044,3.7327201
2036-01-29 12:00:00,3.3638148,2.7786674,5.6093016,5.876376,5.032246,4.0411944
2036-01-30 12:00:00,3.3966005,2.7191489,6.591846,5.014331,5.224756,3.4965546
2036-01-31 12:00:00,2.833031,2.300106,5.189071,4.490113,4.4020634,2.9488516
2036-02-01 12:00:00,2.670895,1.9885433,4.261256,4.450773,3.9778905,3.1769667
2036-02-02 12:00:00,2.1193159,1.8216579,3.7248201,4.2783127,4.801596,2.7643974
2036-02-03 12:00:00,2.6231418,2.1663837,3.9077194,4.332778,5.7297044,2.5884502
2036-02-04 12:00:00,1.5843992,1.6770029,3.9952886,4.611661,5.9437723,3.6163237
2036-02-05 12:00:00,2.7728624,1.9194854,4.1968246,3.9875536,5.091878,2.2335508
2036-02-06 12:00:00,1.386842,1.1969012,1.9488984,4.136102,4.061181,1.7628895
2036-02-07 12:00:00,0.9539226,1.1977249,2.5760083,3.5629148,3.0923111,1.7114167
2036-02-08 12:00:00,1.4329121,1.5736351,2.8274813,4.3139143,4.5613465,2.3439693
2036-02-09 12:00:00,1.3714564,2.1045887,3.6853292,4.7144055,6.262918,2.5871267
2036-02-10 12:00:00,1.909975,2.9597912,3.7116158,5.863875,6.0566087,2.567312
2036-02-11 12:00:00,1.79158,2.8652976,3.890248,6.1031017,6.8321366,3.33097
2036-02-12 12:00:00,1.2210884,2.4775288,4.360983,5.7329545,6.1052504,3.5754988
2036-02-13 12:00:00,1.3442779,2.222206,3.701402,4.2816076,6.220526,2.8141782
2036-02-14 12:00:00,0.8606807,1.1086338,2.8413758,2.6444256,4.6805425,2.14989
2036-02-15 12:00:00,1.0179411,1.2796916,2.630892,3.9257483,5.0244274,1.7728486
2036-02-16 12:00:00,1.6675594,2.150804,2.674375,6.4684153,4.7967186,2.5063474
2036-02-17 12:00:00,2.382875,2.2267873,5.3882084,8.656981,6.9609885,4.729745
2036-02-18 12:00:00,3.087729,3.003507,5.3161817,9.055116,6.3411407,4.2336135
2036-02-19 12:00:00,2.345846,2.1388063,3.8092458,6.390996,5.402101,3.557152
2036-02-20 12:00:00,2.1256413,1.9154783,4.4700074,7.0039907,4.5429773,4.14392
2036-02-21 12:00:00,4.1125813,3.4980307,6.502035,7.404554,3.8685083,5.654104
2036-02-22 12:00:00,3.7466717,3.1592536,5.3686485,7.0052834,4.1932926,3.9778278
2036-02-23 12:00:00,2.1575193,1.6012683,3.2236426,3.9467459,4.927595,1.7776352
2036-02-24 12:00:00,2.7069545,2.2199721,3.8502398,3.2625391,4.7110147,2.615594
2036-02-25 12:00:00,2.2125793,2.4871993,3.682527,5.056788,3.380779,2.576522
2036-02-26 12:00:00,1.7053726,1.3606849,2.7623303,3.5329049,3.4814198,1.3682266
2036-02-27 12:00:00,2.6665335,2.1983042,2.5789297,2.303292,3.223915,2.3079426
2036-02-28 12:00:00,2.404941,1.7694283,3.5317988,3.3947713,3.36076,2.6411135
2036-02-29 12:00:00,1.1662644,1.253746,5.11456,5.2376323,6.540634,3.7863805
2036-03-01 12:00:00,2.3788784,2.3970916,4.503819,7.606371,8.776026,4.5757565
2036-03-02 12:00:00,3.718521,3.5712688,5.3296175,6.6114664,9.482621,3.6288183
2036-03-03 12:00:00,2.9816165,2.8173249,5.2838035,4.77033,6.662336,3.2377408
2036-03-04 12:00:00,4.5343328,3.439135,3.4720464,3.4144082,3.7338922,2.331967
2036-03-05 12:00:00,2.8156614,2.4344184,4.0510035,3.0443866,2.9157774,2.5443869
2036-03-06 12:00:00,1.3913649,1.5106854,2.5619524,2.9549,3.119302,2.0069978
2036-03-07 12:00:00,1.2593383,1.3091931,4.0419245,3.0625365,3.5885224,3.1977303
2036-03-08 12:00:00,2.2493105,2.279358,4.193207,4.272073,4.260049,3.9843476
2036-03-09 12:00:00,2.1857128,1.8712817,3.3084471,5.0582027,3.5368545,4.184178
2036-03-10 12:00:00,2.045994,1.6951969,4.1221805,4.1399283,3.2524037,3.1196535
2036-03-11 12:00:00,3.018593,2.5719216,5.2441525,5.515732,3.9758117,4.9884095
2036-03-12 12:00:00,2.62853,2.104993,4.407171,4.0345054,4.863277,3.3027985
2036-03-13 12:00:00,1.30129,1.2394572,3.7432246,4.03618,5.744003,3.067678
2036-03-14 12:00:00,2.5644348,2.5031724,5.713199,5.251869,5.4575734,3.693664
2036-03-15 12:00:00,4.3156924,3.8670726,5.008388,7.0930576,5.0554914,4.3824534
2036-03-16 12:00:00,3.5497391,3.2155209,4.762564,6.2851353,3.6169074,4.1262984
2036-03-17 12:00:00,2.3743627,2.1911411,5.2733192,3.712313,2.74515,3.0907044
2036-03-18 12:00:00,1.3124418,1.2877955,3.8794665,2.2629232,2.7111237,1.8456248
2036-03-19 12:00:00,0.66533333,0.75754744,2.7397385,3.4946446,2.3782248,2.4044485
2036-03-20 12:00:00,2.3865135,1.7247384,4.510646,5.0462866,3.88302,3.4936633
2036-03-21 12:00:00,1.8228525,1.7609701,4.1695404,3.6351633,3.9424565,3.3951051
2036-03-22 12:00:00,1.460871,1.455758,3.5428004,4.367809,4.3091793,2.6637197
2036-03-23 12:00:00,1.9801912,2.1886377,4.2789164,5.1794252,4.18036,3.9074438
2036-03-24 12:00:00,2.394815,2.4216287,3.6979961,4.8198423,4.232392,3.633544
2036-03-25 12:00:00,2.8899455,2.8233273,4.3815594,4.532504,4.8151155,3.370499
2036-03-26 12:00:00,3.6638567,3.6670039,5.543118,4.4909873,6.236338,3.2739325
