,Norway,NO1,NO2,NO3,NO4,NO5
2071-01-01 12:00:00,2.198744,1.885798,3.6390855,4.1095896,4.469122,2.018217
2071-01-02 12:00:00,1.6823022,1.4273609,4.008197,4.131206,4.191393,2.9424934
2071-01-03 12:00:00,2.9422495,1.926153,4.4567204,2.9949946,3.105094,2.225784
2071-01-04 12:00:00,2.724478,1.991804,3.3450193,2.5781653,2.55975,1.8175923
2071-01-05 12:00:00,2.326241,1.675488,2.6996005,2.2704697,2.2985604,1.397357
2071-01-06 12:00:00,2.7847795,2.0753744,3.5465338,2.6880558,4.0260873,1.8532972
2071-01-07 12:00:00,2.105567,2.0238733,3.0860906,3.4890785,6.634179,1.8274903
2071-01-08 12:00:00,1.7960294,2.3996031,2.8745644,4.191178,3.8831909,2.6588001
2071-01-09 12:00:00,1.2556334,1.6708407,2.277309,3.8089128,6.29893,1.9561177
2071-01-10 12:00:00,1.3535256,1.7339162,2.671855,4.702792,6.8196006,1.8508047
2071-01-11 12:00:00,1.7502589,1.9415102,4.294106,6.0640616,4.027286,3.575796
2071-01-12 12:00:00,1.2871968,1.4740705,3.520615,4.874244,3.2179582,2.7724433
2071-01-13 12:00:00,0.8003534,0.94895136,2.659554,2.8399916,3.8399599,2.2239845
2071-01-14 12:00:00,2.6509786,2.0486178,3.952124,3.154654,3.6022563,2.474117
2071-01-15 12:00:00,2.812314,2.3493595,4.6625924,3.546061,4.5411987,2.961033
2071-01-16 12:00:00,1.1012416,1.3284019,3.3871844,6.4010744,7.4708776,2.9970264
2071-01-17 12:00:00,1.2926316,2.340927,4.5891647,5.2248826,6.718905,3.2649975
2071-01-18 12:00:00,1.0397882,1.4493117,4.167681,3.6569684,4.888737,2.8613288
2071-01-19 12:00:00,1.2743607,1.2433138,4.726733,3.8081086,4.283169,2.864219
2071-01-20 12:00:00,1.4395754,1.8739179,3.934197,4.8916903,5.179094,3.0625627
2071-01-21 12:00:00,1.0081669,1.0036174,3.1037326,3.5029821,4.4701567,1.8448732
2071-01-22 12:00:00,0.75877106,0.96731806,3.6220486,4.711228,4.8888946,2.702252
2071-01-23 12:00:00,1.1813987,1.1633067,3.3915477,5.2601666,4.784039,2.9708061
2071-01-24 12:00:00,0.95949244,1.2675956,5.0318074,4.9173965,6.433576,3.3569875
2071-01-25 12:00:00,0.809698,1.1136885,4.402336,4.269082,6.5965714,3.297244
2071-01-26 12:00:00,1.8610085,1.4596277,5.344244,4.449752,6.1002545,3.0200043
2071-01-27 12:00:00,1.2945057,1.3816537,2.9205046,3.3344386,4.0663195,2.2693305
2071-01-28 12:00:00,1.289376,1.9781212,5.32189,5.804343,4.36386,4.070337
2071-01-29 12:00:00,0.9957393,1.5573742,3.7118685,5.36607,4.211201,2.5409067
