,Norway,NO1,NO2,NO3,NO4,NO5
2071-01-01 12:00:00,4.521034,4.047033,5.125046,6.399499,5.7059007,4.012838
2071-01-02 12:00:00,2.374502,2.2920759,3.3156686,6.774991,6.7372813,3.5432081
2071-01-03 12:00:00,2.308354,2.1993227,5.5195284,5.53722,7.125385,3.99925
2071-01-04 12:00:00,1.4216654,1.720194,4.6453013,5.4346247,4.5133076,2.7786944
2071-01-05 12:00:00,1.71702,1.9355354,3.684005,7.274392,6.552055,3.304833
2071-01-06 12:00:00,1.8387098,1.7703501,6.237298,5.0251207,4.3065414,3.9994242
2071-01-07 12:00:00,3.3658252,3.0446534,7.958464,6.964281,7.408703,4.7317934
2071-01-08 12:00:00,3.2525325,3.066153,6.2143793,6.699296,9.510335,3.9705284
2071-01-09 12:00:00,0.92978156,0.9722659,2.29965,3.546795,8.575737,1.9793067
2071-01-10 12:00:00,1.2253714,1.006882,2.7776124,3.456042,6.1029515,2.0887454
2071-01-11 12:00:00,0.9128536,1.1135273,2.419426,4.0589504,4.395318,2.3277957
2071-01-12 12:00:00,0.9007346,1.1332211,3.0223215,5.0130525,3.6895466,2.9008555
2071-01-13 12:00:00,0.83013535,1.0765396,3.9053519,4.9264717,6.4461117,3.0010846
2071-01-14 12:00:00,2.1136727,1.926264,5.7275724,4.7813864,4.223318,4.073204
2071-01-15 12:00:00,2.9176354,2.1033368,6.024805,4.2222357,4.822185,3.4359736
2071-01-16 12:00:00,1.9088358,1.7165548,5.2164893,3.1991723,3.9442894,3.0030885
2071-01-17 12:00:00,0.81956905,1.0996406,2.581999,3.0758111,3.4500587,1.9100677
2071-01-18 12:00:00,2.699747,1.9769374,4.181228,3.0774708,3.8672423,2.300835
2071-01-19 12:00:00,2.1127026,1.8396331,2.8033946,2.6761923,5.8673153,2.3170109
2071-01-20 12:00:00,1.1932464,1.1905866,4.7238383,4.740917,4.7603884,4.168352
2071-01-21 12:00:00,4.12284,3.7736614,7.164295,8.120832,7.927489,5.4390464
2071-01-22 12:00:00,2.287228,2.172566,4.465535,6.4197927,9.868081,3.7926
2071-01-23 12:00:00,1.0899787,1.4434637,4.0130043,5.950142,8.318816,3.207642
2071-01-24 12:00:00,1.2811601,1.3620965,3.9594605,4.742484,5.385314,3.1295676
2071-01-25 12:00:00,2.3934894,2.009634,5.174454,5.152392,4.2320933,3.7880487
2071-01-26 12:00:00,3.3598452,2.7573872,6.731339,6.003601,5.2706027,3.9806323
2071-01-27 12:00:00,2.410029,1.8875071,5.108128,5.950282,4.3568683,3.5107794
2071-01-28 12:00:00,3.3941903,2.7996044,7.4785748,7.615364,2.9979727,5.484835
2071-01-29 12:00:00,2.1711578,2.1112046,5.519332,4.594487,3.3476622,3.1973083
