,Norway,NO1,NO2,NO3,NO4,NO5
2036-01-01 12:00:00,1.2095591,1.6357912,2.7530596,6.747705,8.379297,2.6679258
2036-01-02 12:00:00,1.0951898,1.411172,3.2452335,7.0063252,7.548286,3.4831114
2036-01-03 12:00:00,2.7217593,2.5503728,5.7488666,7.7625875,7.124366,4.6364017
2036-01-04 12:00:00,1.9000747,2.669809,5.997716,7.464187,5.355638,4.4472227
2036-01-05 12:00:00,2.113315,2.7876418,6.5093393,7.85754,4.7439523,5.1343584
2036-01-06 12:00:00,2.1828165,2.1314178,5.7029963,6.1043615,4.393045,4.4027205
2036-01-07 12:00:00,1.4696131,1.6475787,3.9117362,4.125934,3.868091,2.6522124
2036-01-08 12:00:00,0.9699277,1.1077573,2.583933,3.2593708,3.573286,1.9803226
2036-01-09 12:00:00,2.177537,1.4463018,3.9275205,2.6137824,3.1999571,1.7216412
2036-01-10 12:00:00,3.7387815,2.4377732,4.1629705,3.1156845,4.9223537,2.0697925
2036-01-11 12:00:00,2.1068976,1.6509848,2.7247875,3.6389158,4.8113465,1.9500259
2036-01-12 12:00:00,0.877985,1.1091126,2.892341,4.4149547,3.8307683,2.73565
2036-01-13 12:00:00,0.73278224,1.0057569,4.570959,5.346281,4.234391,4.474116
2036-01-14 12:00:00,2.5771482,2.59957,8.013599,6.940709,4.788319,5.911778
2036-01-15 12:00:00,1.9499766,1.8461992,4.414786,6.5651765,6.6282825,3.9637525
2036-01-16 12:00:00,2.8641143,2.2511206,5.5758724,5.1202354,7.601373,2.9511113
2036-01-17 12:00:00,3.095188,2.2034476,3.5618699,4.915488,5.639459,2.5865421
2036-01-18 12:00:00,0.9993906,1.1922879,3.2667012,3.2867615,3.6649091,2.356571
2036-01-19 12:00:00,0.9799628,1.0946792,3.0495257,3.5540092,5.326279,1.965774
2036-01-20 12:00:00,1.6934454,1.2466646,3.8571868,4.123404,6.751972,1.982281
2036-01-21 12:00:00,1.8770002,1.4393309,4.5348296,3.678184,5.414618,1.9545242
2036-01-22 12:00:00,2.3175144,2.1319575,3.7805116,3.478611,3.7045615,2.5889509
2036-01-23 12:00:00,2.4881463,2.250139,3.2053626,3.4936368,4.5397024,2.4113746
2036-01-24 12:00:00,1.1329551,1.6852129,3.162543,6.609084,9.85543,2.6968763
2036-01-25 12:00:00,1.1045177,1.8113507,3.0391312,6.2326317,10.964365,2.4322996
2036-01-26 12:00:00,1.8177844,2.2778041,4.6127586,5.9382625,8.5982895,3.9745054
2036-01-27 12:00:00,1.4139397,1.9052418,4.330318,5.924852,4.7641735,3.1339753
2036-01-28 12:00:00,1.1359011,1.5097475,2.40473,5.0722594,3.2227318,2.5739422
2036-01-29 12:00:00,1.2500967,1.421461,3.866733,4.5020356,2.318271,2.4377766
2036-01-30 12:00:00,1.2054551,1.2637085,3.5397801,3.9985912,3.4081001,2.8883367
2036-01-31 12:00:00,2.0514908,1.7853252,5.4296618,4.023645,3.9349494,3.8075814
2036-02-01 12:00:00,2.422456,2.0449967,5.1012197,4.690543,3.7215638,2.316576
2036-02-02 12:00:00,2.036253,1.7300382,4.819377,3.9852078,4.218618,3.2155416
2036-02-03 12:00:00,0.90964144,1.0781665,2.0935273,3.560836,6.117446,1.7104337
2036-02-04 12:00:00,2.0484562,1.6981747,5.7006335,4.0952144,6.1490684,3.253781
2036-02-05 12:00:00,2.527522,2.3130338,5.1845384,5.7746286,5.2634826,4.4947824
2036-02-06 12:00:00,2.1881104,2.1812606,5.4262447,4.5275993,3.974428,4.1410103
2036-02-07 12:00:00,1.8077934,1.6428664,3.9901083,4.229385,4.3727293,3.0342429
2036-02-08 12:00:00,2.9732187,2.3933265,4.653822,3.6282706,5.2904854,3.2801666
2036-02-09 12:00:00,3.495664,2.9273047,4.715462,4.27258,5.270071,2.7731938
2036-02-10 12:00:00,2.1312943,1.5353614,2.8454564,3.363858,3.524629,1.6408381
2036-02-11 12:00:00,0.7419418,0.89720917,3.0428016,3.268993,3.0931702,2.7862997
2036-02-12 12:00:00,1.253425,1.1850426,3.0265555,4.1689525,2.9500463,2.137226
2036-02-13 12:00:00,0.83986354,1.064123,4.4059663,3.5841625,2.8390074,2.7950156
2036-02-14 12:00:00,1.684201,1.9058319,3.0886848,2.1772234,3.3190343,1.9814297
2036-02-15 12:00:00,1.0856642,1.1927605,2.5376084,4.3714285,3.303042,2.363578
2036-02-16 12:00:00,1.131511,1.2748675,2.3870847,4.0620914,2.5783086,1.807672
2036-02-17 12:00:00,1.6145184,1.6017256,3.6682367,3.1997714,2.9042735,2.3114052
2036-02-18 12:00:00,1.5331252,1.354466,5.8518634,3.6323733,3.0012827,2.7704194
2036-02-19 12:00:00,1.6518779,1.1768621,4.3198895,2.598419,3.1869485,1.8598739
2036-02-20 12:00:00,1.3148367,1.3796461,2.4949415,2.8874722,3.9499984,1.5624392
2036-02-21 12:00:00,2.8032832,2.2581217,3.8837223,3.9796438,2.6472692,2.326226
2036-02-22 12:00:00,2.9838138,2.1397476,4.6920667,2.4687912,3.827077,2.4747534
2036-02-23 12:00:00,1.5643163,1.6409658,3.2150447,3.6637864,4.188446,1.8129505
2036-02-24 12:00:00,1.2214854,1.4220381,2.3964014,4.7628093,4.410629,2.4668117
2036-02-25 12:00:00,0.9971953,1.1538196,3.0997965,5.114681,5.02729,2.493269
2036-02-26 12:00:00,1.7065592,1.5654143,4.095414,4.513595,4.4753737,3.2364361
2036-02-27 12:00:00,2.391066,1.8751551,2.9565046,2.4294448,4.479939,2.0293221
2036-02-28 12:00:00,1.0991775,1.1798832,2.5919693,6.800273,7.5847483,2.6751177
2036-02-29 12:00:00,0.8945323,1.3230084,1.8884964,6.568833,6.3333015,1.586523
2036-03-01 12:00:00,0.7738359,1.0490016,2.1726074,3.3841126,5.5054674,1.6013144
2036-03-02 12:00:00,0.7413986,0.8679162,4.2954254,2.2261715,7.276279,2.4137201
2036-03-03 12:00:00,1.333805,1.1561595,4.656336,2.2599597,7.085174,2.1247149
2036-03-04 12:00:00,1.4841622,1.1472996,3.5593588,2.1607292,5.2583656,1.6025786
2036-03-05 12:00:00,1.1884346,1.2705561,3.8525064,2.7275093,3.476458,1.950961
2036-03-06 12:00:00,0.9984332,0.94918984,3.3780491,2.5285141,4.66365,1.7983096
2036-03-07 12:00:00,0.83838737,0.8859853,3.7036736,2.0709314,5.218441,1.6881038
2036-03-08 12:00:00,0.9346421,0.87678677,3.1020677,2.1345603,4.8108873,1.4764917
2036-03-09 12:00:00,0.8177071,0.8671717,2.2236378,2.320057,4.0543966,1.1121969
2036-03-10 12:00:00,0.79951,0.9715732,1.719123,3.2150292,4.811028,1.5722566
2036-03-11 12:00:00,1.355533,1.0923048,2.3249693,2.6011527,4.905876,1.5579348
2036-03-12 12:00:00,0.825753,0.898962,2.1951773,2.176247,4.2483907,1.0642545
2036-03-13 12:00:00,1.7529126,1.6054914,2.9292235,2.2158,3.7426887,1.7694225
2036-03-14 12:00:00,1.637874,1.5605251,2.1039722,2.107173,3.3881028,1.3053327
2036-03-15 12:00:00,1.5668589,1.3001051,1.9699192,3.0318758,3.397943,1.5415415
2036-03-16 12:00:00,1.2067271,1.154867,3.0845582,4.1338897,3.3563526,2.545005
2036-03-17 12:00:00,0.8309672,1.0825015,2.583888,2.6255803,3.2300801,2.0506482
2036-03-18 12:00:00,2.072647,1.9400774,3.5909438,2.6755219,2.8709304,2.2300816
2036-03-19 12:00:00,1.9346708,1.8461126,5.112456,2.931328,3.2149432,2.6973753
2036-03-20 12:00:00,1.646936,1.9559047,4.320292,3.8949635,6.3436427,2.9011986
2036-03-21 12:00:00,1.3454664,1.5557823,2.9904644,4.6277995,5.8459835,3.036828
2036-03-22 12:00:00,2.5449376,1.9637324,4.122386,3.211594,5.072289,3.277339
2036-03-23 12:00:00,1.3995566,1.4886053,3.1752775,4.3460164,5.0687985,2.196677
2036-03-24 12:00:00,2.9143598,2.9597678,3.956494,5.4143853,4.3813004,2.376317
2036-03-25 12:00:00,2.4939022,2.448184,3.079235,4.20165,2.7714121,2.2285619
2036-03-26 12:00:00,1.34583,1.33473,2.4061866,4.0317383,3.4605873,2.6330686
2036-03-27 12:00:00,1.9080458,1.51709,3.1727726,2.6575642,2.7596633,3.022977
2036-03-28 12:00:00,2.2668035,1.5624886,4.010889,2.0119994,2.7433076,2.1080403
2036-03-29 12:00:00,2.3319921,1.7881643,4.141042,3.967915,3.042273,2.4246655
2036-03-30 12:00:00,2.689451,1.9739903,6.261225,3.337188,3.6591194,2.3361316
2036-03-31 12:00:00,3.0086331,2.3326716,5.6262865,2.6708364,3.7970002,3.283472
2036-04-01 12:00:00,3.3307662,2.7251844,4.861748,3.4507585,4.5579686,2.7030635
2036-04-02 12:00:00,1.5754831,1.5878186,3.4058197,2.7337306,5.0367002,1.7129108
2036-04-03 12:00:00,2.8245962,2.5695179,3.0322754,3.139211,4.8418646,1.3406804
2036-04-04 12:00:00,1.8154376,1.7324742,2.1821964,3.3422854,6.1381855,1.8344725
2036-04-05 12:00:00,0.9616188,0.9280881,1.6526406,2.6743996,5.4402895,1.8028184
2036-04-06 12:00:00,1.5215943,1.260662,3.3054001,3.1305752,4.728874,1.6607102
2036-04-07 12:00:00,3.559502,3.1522806,4.53891,4.85202,4.076725,2.6629155
2036-04-08 12:00:00,4.540174,3.5040486,5.755209,3.8100822,4.5160265,2.914554
2036-04-09 12:00:00,4.104324,2.98594,3.4169292,3.322048,3.7338333,1.8298353
2036-04-10 12:00:00,1.7213242,1.2888063,3.400789,2.5657554,4.676412,2.4965634
2036-04-11 12:00:00,1.9809831,1.517381,3.2035902,2.4673343,6.4020715,2.4983559
2036-04-12 12:00:00,1.4948726,1.2532858,2.3199835,2.4992335,5.623386,1.6629059
2036-04-13 12:00:00,1.8186431,1.3534919,2.2226183,1.9449193,3.6881173,1.238716
2036-04-14 12:00:00,0.7810024,0.8228834,1.4730773,1.722155,2.4703128,1.1957273
2036-04-15 12:00:00,1.3159323,1.4285467,1.8169218,2.7191606,3.549278,1.5737631
2036-04-16 12:00:00,2.5989563,2.2421968,3.154944,4.091778,2.9743834,2.7241085
2036-04-17 12:00:00,2.501666,2.1227303,3.4354331,3.5830426,2.6255627,2.1683311
2036-04-18 12:00:00,3.2739067,3.1095102,4.402924,4.0203,3.257033,2.9383137
2036-04-19 12:00:00,4.275053,3.4710188,6.2880917,4.0054555,3.7213922,3.4482014
2036-04-20 12:00:00,4.6379814,3.8665168,6.527452,4.6956015,3.6862376,3.1238115
2036-04-21 12:00:00,3.4779463,3.0024724,3.335293,4.691496,4.168209,2.523395
2036-04-22 12:00:00,2.6738148,2.5133457,4.145666,4.149925,5.4665728,1.8381588
2036-04-23 12:00:00,2.3089886,2.064636,2.8075378,4.82242,4.6407027,2.2955441
2036-04-24 12:00:00,2.2736278,1.9725426,2.7937455,3.1918626,3.9969966,1.990396
2036-04-25 12:00:00,1.092794,1.1740983,1.9505414,2.5826702,4.813443,1.6140097
2036-04-26 12:00:00,2.6364756,1.899538,2.6550741,2.9533262,5.8395276,1.6279192
2036-04-27 12:00:00,4.2812514,3.2588067,3.6615856,3.510831,4.5321255,2.1229558
2036-04-28 12:00:00,3.281784,2.600933,3.3525321,3.9644125,3.571329,2.2139232
2036-04-29 12:00:00,1.8420136,2.0389383,2.931259,3.503243,3.1332114,1.6471694
2036-04-30 12:00:00,2.0677938,1.7333722,2.594019,3.2323499,3.184463,2.2900407
2036-05-01 12:00:00,1.3790542,1.2758546,2.5505378,2.9739642,3.5940342,2.5336986
2036-05-02 12:00:00,1.8307751,1.7180266,3.177278,2.6903722,3.5461423,2.5268455
2036-05-03 12:00:00,1.8037932,2.0884824,3.0387416,2.7378287,4.0458794,2.1928623
2036-05-04 12:00:00,1.1709137,1.3415436,1.9606631,1.591827,3.3952477,1.2955775
2036-05-05 12:00:00,1.5738456,1.3679283,2.09269,4.0674706,4.7652307,1.7562143
2036-05-06 12:00:00,1.0725914,1.2304119,2.193184,2.3800468,5.689571,1.6219095
2036-05-07 12:00:00,1.325427,1.1952583,2.5063078,1.7848045,5.3062716,1.4585202
2036-05-08 12:00:00,1.2167991,1.1521952,3.276673,1.6252025,6.178437,1.5490526
2036-05-09 12:00:00,0.8411799,0.89853406,2.8221073,1.648383,4.599027,1.5204364
2036-05-10 12:00:00,0.6726891,0.9713054,2.488037,2.4867945,3.2910678,1.3709279
2036-05-11 12:00:00,1.074073,1.0912086,2.0535479,3.3361053,3.0248368,1.2992252
2036-05-12 12:00:00,1.438749,1.4154595,1.9785565,2.5567367,2.6287677,1.0506071
2036-05-13 12:00:00,2.0260599,1.547561,2.2369006,2.3626766,3.9086654,1.4027537
2036-05-14 12:00:00,1.7073193,1.5167215,2.0650113,1.7940295,4.9285383,1.4962223
2036-05-15 12:00:00,1.6129608,1.557607,1.9250624,2.1353328,6.2949123,2.0588837
2036-05-16 12:00:00,2.4148765,2.0445757,1.899002,3.3960595,4.715282,1.7680835
2036-05-17 12:00:00,2.3812125,2.0713668,2.321849,4.3290205,3.5300894,1.4562534
2036-05-18 12:00:00,1.5770553,1.6198179,2.5462606,4.3412156,3.3765945,1.494893
2036-05-19 12:00:00,1.1300539,1.3817416,2.1298268,3.5738215,3.95583,1.7694944
2036-05-20 12:00:00,1.1721722,1.3301178,2.1762862,3.2550182,2.6953382,1.4672841
2036-05-21 12:00:00,1.3967569,1.3583175,1.9879143,3.7300098,2.0117128,1.6560721
2036-05-22 12:00:00,1.25674,1.488775,2.2989469,4.13397,2.7267,1.7187821
2036-05-23 12:00:00,2.0898902,1.7561831,2.738185,3.0025637,2.216275,1.683159
2036-05-24 12:00:00,1.3650713,1.190595,2.9084327,2.2053344,3.3340254,1.5014777
2036-05-25 12:00:00,1.5414326,1.6859059,2.0263143,2.9410872,4.0458274,1.3508296
2036-05-26 12:00:00,1.5940341,1.2406752,1.835553,3.193554,3.2185872,1.4072264
2036-05-27 12:00:00,1.296334,1.1716691,1.9716475,3.9745042,3.6474082,1.2010932
2036-05-28 12:00:00,1.0066576,1.2189778,1.7743843,4.572548,4.26137,1.0867609
2036-05-29 12:00:00,2.1097398,1.6807455,1.6602434,3.6985254,4.002731,0.9826363
2036-05-30 12:00:00,2.8155992,2.327055,1.8376307,3.6253388,2.971383,1.67267
2036-05-31 12:00:00,1.8625815,1.7522151,3.2435927,3.0868204,2.7074854,1.3669834
2036-06-01 12:00:00,2.1897745,2.0038493,4.3554935,2.5985951,2.4243343,1.5801573
2036-06-02 12:00:00,3.3350778,2.9660704,2.984407,3.0943625,3.3785932,1.9770066
2036-06-03 12:00:00,3.0438564,2.7057145,3.2847462,4.1125016,3.4714792,1.9608862
2036-06-04 12:00:00,2.747321,2.5617976,2.761637,3.7952998,3.1887608,1.8674484
2036-06-05 12:00:00,2.9352121,2.8946185,2.451016,4.9281693,4.14371,3.2372413
2036-06-06 12:00:00,1.6097078,1.5491312,3.9963315,4.1978436,4.6537137,3.6866698
2036-06-07 12:00:00,2.1430633,1.9642512,4.964839,4.1537433,5.760662,3.1934168
2036-06-08 12:00:00,3.8051043,3.380289,3.8283987,2.9468033,5.1048293,2.0130105
2036-06-09 12:00:00,2.5579748,2.3058386,2.7799726,3.32772,4.337447,1.6851497
2036-06-10 12:00:00,0.9549948,1.082563,2.2990158,3.0077372,3.419957,1.308936
2036-06-11 12:00:00,1.3726447,1.152212,2.530514,3.2562332,2.6468008,1.3662616
2036-06-12 12:00:00,1.9178066,1.6348195,3.2148824,2.2452922,2.8616679,1.9121779
2036-06-13 12:00:00,2.3474517,2.1833587,3.5678475,4.119154,2.5204885,2.8167067
2036-06-14 12:00:00,2.5168667,2.0285752,2.356026,5.627764,4.9487324,2.0425763
2036-06-15 12:00:00,1.862397,1.7405801,2.8969471,3.1318913,4.4582157,2.6700375
2036-06-16 12:00:00,2.2293305,1.6854182,2.6776488,3.5121028,3.5006523,2.9563377
2036-06-17 12:00:00,2.0168993,1.8353531,3.2126033,3.363079,2.8182006,1.4971774
2036-06-18 12:00:00,2.1902838,1.8868623,2.4477398,2.4453611,4.1312838,1.5160922
2036-06-19 12:00:00,2.371864,1.9353244,2.8812385,2.0516708,4.373663,1.7029512
2036-06-20 12:00:00,2.1941338,1.786538,3.2463796,2.9561863,4.250934,1.9877018
2036-06-21 12:00:00,2.4354784,1.9049991,2.797474,2.048013,3.5271754,1.5603454
2036-06-22 12:00:00,1.1232212,1.2806385,2.5654798,2.2394462,4.5992465,1.5034876
2036-06-23 12:00:00,1.9410405,1.7363586,3.6873033,3.7751694,2.8185415,1.901396
2036-06-24 12:00:00,1.9561347,1.5469183,3.2811716,4.2686553,4.682304,1.6627635
2036-06-25 12:00:00,2.1137726,1.6895992,2.915943,4.636291,5.8606052,1.6580966
2036-06-26 12:00:00,1.8903141,1.6786908,3.530973,4.4157915,5.775961,1.8303907
2036-06-27 12:00:00,1.32473,1.411502,2.7233484,3.5930192,4.869085,1.578385
2036-06-28 12:00:00,1.8113256,1.7402698,2.2281425,1.8171922,3.8620012,1.4260635
2036-06-29 12:00:00,1.5826194,1.7635293,4.427296,2.2091608,2.193996,1.9692556
2036-06-30 12:00:00,1.5379537,1.763296,4.1156106,2.8196366,2.9360785,2.6434186
2036-07-01 12:00:00,1.3060592,1.2118793,2.4551597,2.7490234,3.7042134,1.4126867
2036-07-02 12:00:00,1.4936519,1.2869749,2.0019274,2.9629824,3.588153,1.3564763
2036-07-03 12:00:00,1.456325,1.2373717,2.0547662,2.83015,3.6334634,1.1162311
2036-07-04 12:00:00,1.2656862,1.1901932,1.7355741,2.4000998,3.6198769,1.305762
2036-07-05 12:00:00,1.2602003,1.207474,2.2234511,3.2216048,3.8918228,1.8533015
2036-07-06 12:00:00,1.3486447,1.2832355,1.600205,3.0868988,3.7367249,1.6274122
2036-07-07 12:00:00,1.4263004,1.3648666,2.2825382,3.1041098,2.9020755,1.3310505
2036-07-08 12:00:00,1.4440532,1.2305073,2.4838512,3.7322001,2.911378,1.3427845
2036-07-09 12:00:00,1.1634196,1.0761964,2.341114,4.055519,2.9250548,1.3276978
2036-07-10 12:00:00,1.4461579,1.1587441,1.6207734,3.1467626,3.6351974,1.1506991
2036-07-11 12:00:00,2.6044545,2.035283,1.861536,2.0891557,3.2266173,1.2828887
2036-07-12 12:00:00,2.5177536,1.984739,2.2704782,2.2868044,2.8030272,2.0333374
2036-07-13 12:00:00,2.9874287,2.406777,3.8215222,2.4169638,2.8297982,2.4323547
2036-07-14 12:00:00,3.3062932,2.8815517,4.1515803,3.3240519,3.3967133,2.5364313
2036-07-15 12:00:00,3.7795663,3.20519,3.7611725,4.544895,4.1945443,3.1900785
2036-07-16 12:00:00,3.7042556,3.185051,3.44738,5.0646696,4.6649914,3.5564668
2036-07-17 12:00:00,3.10048,2.6775212,3.6100883,4.262359,5.0118074,3.4995859
2036-07-18 12:00:00,2.7250068,2.3521895,2.9108665,3.9139543,4.4606886,3.236134
2036-07-19 12:00:00,2.8489735,2.4387195,2.7842453,4.179013,4.481796,3.3937004
2036-07-20 12:00:00,1.9106843,1.9562099,2.992685,3.2761617,3.4175181,3.0117822
2036-07-21 12:00:00,1.7202249,1.3159478,3.835265,3.0907307,2.3735428,2.2494752
2036-07-22 12:00:00,1.2405424,1.1886111,2.7374837,2.4494212,2.6630604,1.312697
2036-07-23 12:00:00,1.4658313,1.1338588,1.849229,3.2727118,4.5256786,1.2522627
2036-07-24 12:00:00,1.2521558,1.1146799,2.3127947,3.5082989,3.990886,2.28665
2036-07-25 12:00:00,1.7032772,1.3441929,3.2643733,1.7262886,3.0917501,1.6182247
2036-07-26 12:00:00,0.95313984,0.8977041,2.8114924,1.7458775,2.2630906,1.3581883
2036-07-27 12:00:00,1.3944483,1.1361016,2.5859094,2.023554,1.7633075,2.0859935
2036-07-28 12:00:00,1.812401,1.3455315,2.666418,1.8543495,2.5914118,1.8103627
2036-07-29 12:00:00,1.395885,1.3573253,3.4094603,2.4240353,2.5681493,1.7761823
2036-07-30 12:00:00,2.2881494,1.8179636,2.7939787,2.7772148,2.6585376,1.7749983
2036-07-31 12:00:00,2.856687,2.1279616,2.714608,2.913269,3.0662544,1.6703668
2036-08-01 12:00:00,1.4196751,1.5133603,2.1048763,2.3735383,2.6576831,1.0996034
2036-08-02 12:00:00,2.221562,2.3739433,2.6121686,4.2186694,2.4540055,1.6689525
2036-08-03 12:00:00,1.4098302,1.3981776,2.183306,3.4428535,4.103519,1.6212698
2036-08-04 12:00:00,1.7588246,1.5842899,1.9493068,2.7346747,3.6972854,1.6696496
2036-08-05 12:00:00,1.951204,1.7654692,2.1260636,2.9164672,3.7797234,1.3786207
2036-08-06 12:00:00,2.3308969,1.8414179,2.0464594,3.0044508,3.1543615,1.3195957
2036-08-07 12:00:00,1.3901439,1.3499023,2.2271621,3.0610697,2.5200574,1.211052
2036-08-08 12:00:00,1.1616095,1.334918,3.8694825,2.205333,3.2420583,1.5783148
2036-08-09 12:00:00,1.876565,1.8249165,5.6131954,3.0596082,3.2090714,2.5875
2036-08-10 12:00:00,3.485403,3.098545,7.2293563,3.8637266,2.3376899,3.638375
2036-08-11 12:00:00,3.754928,3.3079672,5.6931257,5.389152,2.8089418,4.108457
2036-08-12 12:00:00,2.441148,2.2437282,4.1851463,3.034858,3.1041431,2.5928988
2036-08-13 12:00:00,2.432884,2.2668808,3.3677444,2.9904177,2.6089857,2.4227695
2036-08-14 12:00:00,2.8964844,2.4313333,2.9228566,3.273683,2.466087,1.7148707
2036-08-15 12:00:00,2.4914908,2.0314407,3.102527,4.294719,3.6521459,1.8203164
2036-08-16 12:00:00,2.9717302,2.5211554,5.16901,3.6172998,4.3438945,2.6098874
2036-08-17 12:00:00,3.062738,2.8188374,5.796694,3.4382021,2.956786,2.5995731
2036-08-18 12:00:00,3.818535,3.1687212,4.103935,4.8572283,3.2576435,3.0483947
2036-08-19 12:00:00,2.0935223,1.6858536,1.8846859,4.562538,3.0317495,1.2050644
2036-08-20 12:00:00,1.2415596,1.1179512,1.6151185,3.1502302,4.4722233,1.7121006
2036-08-21 12:00:00,1.2536838,1.2144397,2.0215712,2.4696658,4.170411,1.6562794
2036-08-22 12:00:00,2.65831,2.3993483,5.038217,4.0522475,2.8682024,3.449377
2036-08-23 12:00:00,1.5391722,1.7219985,2.9910297,3.7203052,2.6871326,2.4941385
2036-08-24 12:00:00,1.9043887,1.7296678,2.6006927,2.4215844,2.9808471,1.4082515
2036-08-25 12:00:00,1.4535829,1.1636641,1.483887,2.0088935,4.3995895,1.0258311
2036-08-26 12:00:00,1.4347486,1.1422457,2.624637,2.2319946,3.5587063,1.9330504
2036-08-27 12:00:00,2.289136,1.6606587,3.5534358,1.9565414,1.6231636,2.6143394
2036-08-28 12:00:00,3.6192615,3.1597347,3.9341686,3.9439266,3.2647219,2.877735
2036-08-29 12:00:00,1.8462543,1.53559,2.4909506,2.6529014,3.7712429,1.7197887
2036-08-30 12:00:00,1.1095629,1.1638569,2.6153338,3.3747866,4.153818,1.7774919
2036-08-31 12:00:00,1.8582141,1.4316328,3.706264,3.5819213,2.1487381,2.1028845
2036-09-01 12:00:00,3.0685554,3.1331582,4.809157,4.8079014,3.801134,3.9567282
